LOCODE,LAT,LON
IDTZD,1.1846911,124.575545
IDUTC,-6.2087634,106.845599
IDUTE,-6.2087634,106.845599
IDWAI,-3.067,126.533
IDWED,0.333,127.883
IDWSS,-3.567,126.167
ILAKK,32.9167,35.0667
ILBGV,32.5167,34.9333
IL8UH,33.1667,35.4333
ILHFA,32.8,34.9833
ILMSP,32.8,34.9833
ILJUL,31.6833,34.65
ILKY7,31.8333,34.9167
ILKFV,32.3667,34.8667
ILM8A,32.0333,34.9
ILAS2,31.7833,35.3167
ILNAB,32.2167,35.25
ILNAT,32.3333,34.8667
ILOFR,31.95,35.25
ILTLV,32.05,34.75
ILTIB,32.8,35.5333
ILASH,31.83333333,34.63333333
ILAKL,31.6687885,34.5742523
ILAST,31.817,34.65
ILETH,29.557669,34.951925
ILHAD,32.433672,34.919217
ILHBT,32.8,34.983
ILMLE,31.931566,34.872938
INALF,9.4833,76.3167
INATU,12.7333,79.95
INBPT,12.9833,78.1833
INBDH,25.4167,82.5667
INBRU,21.7,72.9667
INBHU,21.7667,72.1333
INMAA,13.0833,80.2833
INCOK,9.9667,76.2333
INDMA,20.8,86.9
INDMQ,20.8167,86.95
INDIG,18.25,72.9667
INEKM,9.9833,76.2833
INERO,11.35,77.7333
INGGV,17.65,83.25
INGRR,22.5167,88.3
INHZA,21.0833,72.6167
INJBD,20.85,71.3667
INIXJ,32.7,74.85
INJDG,21.8833,70.0333
INIXY,23.0333,70.2167
INKAR,10.95,78.0833
INKAT,13.3,80.35
INKTP,13.3,80.3833
INKHO,23.05,72.9333
INCCU,22.5667,88.35
INCCJ,11.25,75.7667
INLNG,21.7333,84.0167
INIXM,9.9333,78.1167
INMAH,11.7,75.5333
INMDV,22.8333,69.3667
INMRM,15.4,73.7833
INMOB,22.8167,70.8333
INMDK,20.75,70.6667
INBOM,18.9667,72.8167
INMUG,25.3833,86.4667
INNPT,10.7833,79.8167
INNGC,8.1667,77.4333
INICD,28.6,77.2
INNTU,8.75,78.2167
INNHV,18.95,72.9667
INNEE,8.9333,76.5333
INORS,20.2333,84.2667
INPRT,20.3167,86.6167
INPAV,20.9667,71.55
INPNY,11.9167,79.8167
INPPV,20.9333,71.5167
INPST,22.4,69.1667
INBPQ,26.3,86.9667
INROZ,22.5667,70.0333
INSAM,17.05,82.1833
INSIK,22.4333,69.8333
INSKK,27.3516407,88.3239309
INSIL,26.7167,88.4167
INSTV,21.1667,72.8333
INTAD,14.5167,74.35
INTHN,19.2,72.9667
INKTK,15.2,76.6833
INZUM,16.5,77.0833
INTUT,8.7833,78.1333
INURA,18.8833,72.9333
INBDQ,22.3,73.2
INVTZ,17.7,83.3
INWAD,18.9833,73.75
INNSA,19.0330488,73.02966
INMUN,22.756025,69.636455
INBLR,12.98333333,77.58333333
INAMD,23.03,72.58
INAIS,11.117,72.733
INBDR,13.866,74.6333
INBED,22.4977692,70.0445662
INBEY,11.173585,75.8040022
INBFR,28.35,77.31667
INBHM,17.8875169,83.4456801
INCDL,11.75,79.75
INCHI,13.2074794,77.9884958
INCNN,11.8744775,75.3703662
INDAH,21.7129335,72.582009
INENR,13.2666,80.35
INERN,9.98333,76.28333
INGAN,21.083,72.633
INGND,28.817,77.883
INGNO,28.467,77.517
INHAL,22.0666742,88.0698118
INIXE,12.9141417,74.8559568
INJAK,23.218611,68.716944
INJNP,18.95,72.95
INKAK,16.9890648,82.2474648
INKAL,25.0345221,86.5981031
INKPI,10.067,73.633
INKRI,14.2886008,80.1248476
INMRI,21.467,72.233
INNAV,21.5177091,70.3163535
INNML,12.9477532,74.8214693
INPPT,20.25,86.583
INSWA,30.85,75.95
INVIG,17.6411439,82.6712877
INVIZ,17.7,83.25
IQHIL,32.4833,44.4333
IQTQD,33.3333,43.5833
IQBGW,33.3333,44.3833
IQOSM,36.3489278,43.157736
IQNJF,31.9833,44.3
IQNSR,31.05,46.25
IQSAM,34.2,43.8667
IQTJI,33.5167,44.2667
IQUQR,30.0333,47.9333
IQZAO,37.1333,42.7
IRAMP,36.0833,52.3667
IRASA,27.4667,52.6
IRBND,27.1833,56.2667
IRAMD,36.7833,53.35
IRBKM,30.4333,49.1
IRBMR,30.55,49.1833
